age,ward_29_male_pop,ward_29_female_pop,ward_35_male_pop,ward_35_female_pop,ward_36_male_pop,ward_36_female_pop,ward_49_male_pop,ward_49_female_pop
Under 5 years,2083,2025,1924,1820,1967,2071,1600,1760
5 to 9 years,2083,1909,1664,1872,2019,2123,1440,1333
10 to 14 years,1620,1852,1560,1612,1812,1812,1386,1333
15 to 17 years,1099,1447,988,936,1139,1087,640,587
18 to 24 years,2314,3009,3329,2704,2692,2381,3146,3946
25 to 34 years,3240,4571,5773,5149,3831,3883,5492,5065
35 to 44 years,3182,3877,4369,4005,4245,4090,4586,4106
45 to 54 years,3761,4455,3329,2808,3106,3158,3573,3519
55 to 64 years,3587,4282,2132,2028,2796,2537,2719,2773
65 to 74 years,1967,2430,1092,1300,1243,1760,1226,1493
75 to 84 years,868,1504,624,728,621,880,427,693
85 years and over,231,636,156,260,207,311,160,480